City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
210,sorland,NO,60.8,67.67,12.69,broken clouds,Sjybrygga fiskecamp
211,marigot,MF,86.0,18.07,-63.08,few clouds,Royal Palm Beach Resort
213,mbandaka,CD,84.43,0.05,18.26,few clouds,Guest House Epervier
215,kudahuvadhoo,MV,83.28,2.67,72.89,scattered clouds,Kudahuvadhoo Retreat
216,mehamn,NO,75.2,71.04,27.85,few clouds,Mehamn Arctic Hotel AS
217,longyearbyen,SJ,68.0,78.22,15.64,broken clouds,"Radisson Blu Polar Hotel, Spitsbergen"
219,alofi,NU,66.2,-19.06,-169.92,clear sky,Taloa Heights
220,alto araguaia,BR,75.18,-17.31,-53.22,clear sky,Araguaia Palace Hotel
222,vostok,RU,64.44,46.49,135.88,clear sky,
224,nikolskoye,RU,70.0,59.7,30.79,light intensity shower rain,Tourist House - Sablino
225,marzuq,YE,83.89,14.4,46.47,few clouds,
226,taoudenni,ML,107.35,22.68,-3.98,scattered clouds,
228,hasaki,JP,78.8,35.73,140.83,light rain,Inubosaki Kanko Hotel
230,bekhtery,UA,84.63,46.25,32.29,broken clouds,
231,black river,JM,82.99,18.03,-77.85,scattered clouds,Idlers' Rest Beach Hotel
232,murud,IN,84.69,18.33,72.97,overcast clouds,On Point Plaza
233,coquimatlan,MX,70.86,19.2,-103.8,scattered clouds,Maria de la Luz Olague Carrasco
234,priiskovyy,RU,74.1,51.93,116.63,broken clouds,
235,tiznit,MA,99.79,29.58,-9.5,clear sky,
236,wysokie mazowieckie,PL,84.0,52.92,22.52,broken clouds,POKOJE Z SERCEM
237,xingcheng,CN,75.06,40.62,120.72,clear sky,New Century Hotel
239,ewa beach,US,78.8,21.32,-158.01,clear sky,Hampton Inn & Suites Oahu/Kapolei
240,kibaha,TZ,84.2,-6.77,38.92,broken clouds,GOODJANETH GARDEN RESORT
241,edea,CM,77.0,3.8,10.13,light intensity drizzle rain,Micotel Hotel
242,hirara,JP,80.6,24.8,125.28,light intensity shower rain,Hotel Atoll Emerald Miyakojima
244,buta,CD,89.28,2.79,24.73,overcast clouds,HOTEL BISO NA BISO
245,humaita,BR,78.4,-7.51,-63.02,clear sky,Corrêa Hotel
246,kachug,RU,68.29,53.96,105.88,scattered clouds,"The hotel ""Empire"""
248,shizunai,JP,62.92,42.33,142.37,scattered clouds,Shizunai Eclipse Hotel
250,bilma,NE,103.12,18.69,12.92,clear sky,Expeditions Ténére voyages
252,asandh,IN,100.89,29.52,76.6,broken clouds,TAZ RETAILS
253,khatanga,RU,61.9,71.97,102.5,clear sky,"Gostinitsa ""Zapolyar'ye"""
256,hobyo,SO,82.94,5.35,48.53,broken clouds,Osmani Hotel
257,port said,EG,86.0,31.26,32.28,clear sky,Aracan Hotel
258,cabo san lucas,MX,81.0,22.89,-109.91,broken clouds,Hotel Tesoro Los Cabos
259,portland,US,64.99,45.52,-122.68,clear sky,Portland Marriott City Center
261,zenzeli,RU,91.45,45.92,47.05,clear sky,"Gostinitsa ""Zvezdnaya"""
263,ugoofaaru,MV,82.42,5.67,73.0,broken clouds,Ungoofaaru Inn
265,victoria,HK,87.01,22.29,114.16,broken clouds,Mini Hotel Central
266,sao desiderio,BR,73.8,-12.36,-44.97,overcast clouds,Pousada do Luizão
267,gat,IL,91.99,31.61,34.76,clear sky,רגע בנחת
269,farmington,US,60.8,36.73,-108.22,clear sky,Courtyard by Marriott Farmington
270,san patricio,MX,76.55,19.22,-104.7,scattered clouds,Hotel Cabo Blanco
273,pavlodar,KZ,73.4,52.3,76.95,scattered clouds,Sary Arka
275,poum,NC,74.23,-20.23,164.02,broken clouds,Gîte kajeon
277,linhares,BR,74.89,-19.39,-40.07,broken clouds,Hotel Conceição
278,saint-pierre,RE,73.4,-21.34,55.48,overcast clouds,Lindsey Hôtel
279,neiafu,TO,73.4,-18.65,-173.98,scattered clouds,Mystic Sands
280,solnechnyy,RU,68.02,50.72,136.63,clear sky,Hotel complex Pastoral
281,agadez,NE,103.21,19.75,10.25,clear sky,
283,matay,EG,105.12,28.42,30.78,clear sky,Nag Aespen
284,togur,RU,66.42,58.36,82.83,clear sky,
289,semme,FR,69.8,46.2,1.5,overcast clouds,Inter-Hotel Alexia
290,lagoa,PT,73.09,39.05,-27.98,clear sky,Casa Das Faias
292,saint anthony,US,68.0,45.02,-93.22,broken clouds,Holiday Inn Express Roseville-St. Paul
293,salalah,OM,84.2,17.02,54.09,broken clouds,HAMDAN PLAZA HOTEL
294,mahibadhoo,MV,82.87,3.78,72.97,overcast clouds,Omadhoo Inn
295,imbituba,BR,64.4,-28.24,-48.67,scattered clouds,Praia Hotel Imbituba
296,harrisonburg,US,75.2,38.45,-78.87,clear sky,Hampton Inn Harrisonburg - University
298,lipin bor,RU,75.61,60.26,37.98,scattered clouds,Park Imeni Ali Oleshevoy
301,vaitape,PF,79.12,-16.52,-151.75,scattered clouds,Conrad Bora Bora Nui
302,kanniyakumari,IN,82.87,8.08,77.57,overcast clouds,New Cape Hotel
303,bambous virieux,MU,75.2,-20.34,57.76,shower rain,Casa Tia Villa
304,labuhan,ID,79.23,-6.88,112.21,clear sky,bador sepret
305,camopi,GF,77.23,3.17,-52.32,broken clouds,
308,grand gaube,MU,75.0,-20.01,57.66,clear sky,Veranda Paul et Virginie Hotel & Spa
310,marinette,US,66.2,45.1,-87.63,clear sky,AmericInn by Wyndham Menominee
311,pombia,IT,88.0,45.65,8.63,scattered clouds,Albergo Fontana
312,albanel,CA,69.8,48.88,-72.45,light intensity shower rain,Camping municipal d'Albanel
313,minot,US,60.01,48.23,-101.3,clear sky,Noble Inn
314,eldama ravine,KE,68.0,0.05,35.73,broken clouds,Chambai Springs Hotel
317,erzin,TR,84.99,36.96,36.2,few clouds,Artemis Otel
318,vung tau,VN,84.72,10.35,107.08,scattered clouds,Seaside Resort
320,tecoanapa,MX,75.96,16.52,-98.75,overcast clouds,Hotel Manglares
321,praia,CV,84.2,14.92,-23.51,scattered clouds,LT Aparthotel
322,saint-augustin,CA,60.69,51.23,-58.65,broken clouds,
323,avera,US,77.0,33.19,-82.53,clear sky,
325,kasongo,CD,98.67,-4.45,26.67,clear sky,Guest Hôtel
326,souillac,MU,75.2,-20.52,57.52,shower rain,Bils' Villa
327,yumen,CN,87.03,40.28,97.2,overcast clouds,
329,marienburg,PL,84.0,54.04,19.03,overcast clouds,Hotel Centrum Malbork
330,gimli,CA,60.01,50.63,-96.99,clear sky,Lakeview Gimli Resort
332,trinidad,BO,69.8,-14.83,-64.9,clear sky,Hotel Piesta
333,torrington,US,81.0,41.8,-73.12,clear sky,The Yankee Pedlar Inn
334,kralendijk,BQ,84.2,12.15,-68.27,scattered clouds,Divi Flamingo Beach Resort & Casino
336,alyangula,AU,62.6,-13.85,136.42,clear sky,Groote Eylandt Lodge
338,belawan,ID,75.2,3.78,98.68,thunderstorm with light rain,Lilik Hidayat Pulungan
340,guarenas,VE,73.99,10.47,-66.61,clear sky,Grand Hotel
342,moyale,KE,72.91,3.52,39.06,overcast clouds,Latahzan guest house
343,boulder city,US,80.01,35.98,-114.83,clear sky,Boulder Dam Hotel
345,nioki,CD,97.81,-2.72,17.68,clear sky,
346,yerofey pavlovich,RU,70.59,53.97,121.97,broken clouds,lounges and warm parking
347,san fernando,PH,86.0,15.03,120.69,thunderstorm,Maharlika Hostel
348,isangel,VU,74.07,-19.55,169.27,scattered clouds,Volcano Sea View Tree House
349,tabas,IR,111.2,33.6,56.92,clear sky,شرکت معماری مهراز شایگان آراد
350,bongandanga,CD,90.36,1.5,21.05,clear sky,
351,reforma,MX,74.25,18.1,-91.02,overcast clouds,
358,ribeira grande,PT,75.2,38.52,-28.7,scattered clouds,Quinta da Meia Eira
359,tautira,PF,77.0,-17.73,-149.15,scattered clouds,Pension Oaoa
