City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Jumla,NP,2020-07-28 04:59:06,29.27,82.18,75.09,51,81,3.24
163,Llangefni,GB,2020-07-28 04:59:06,53.26,-4.31,57.2,82,17,16.11
164,Cotonou,BJ,2020-07-28 04:59:07,6.37,2.42,75.2,94,20,10.29
165,Huari,PE,2020-07-28 04:59:07,-9.33,-77.23,35.67,95,44,1.57
166,Khatanga,RU,2020-07-28 04:59:07,71.97,102.5,58.33,48,0,3.67
167,Rantepao,ID,2020-07-28 04:59:07,-2.97,119.9,82.78,48,73,5.21
168,Thompson,CA,2020-07-28 04:59:07,55.74,-97.86,57.2,82,90,6.93
169,Dunedin,NZ,2020-07-28 04:55:52,-45.87,170.5,52.0,59,100,4.0
170,Kruisfontein,ZA,2020-07-28 04:59:08,-34.0,24.73,50.0,74,0,1.99
171,Mahebourg,MU,2020-07-28 04:55:03,-20.41,57.7,66.2,88,40,3.36
172,Marsabit,KE,2020-07-28 04:59:09,2.33,37.99,62.44,75,54,19.51
173,Ko Samui,TH,2020-07-28 04:59:09,9.54,99.94,91.4,63,20,6.93
174,Paka,MY,2020-07-28 04:59:09,4.64,103.44,89.6,66,20,10.29
175,Novobirilyussy,RU,2020-07-28 04:59:10,56.95,90.67,75.29,49,29,1.45
176,Saint George,US,2020-07-28 04:59:10,37.1,-113.58,96.8,12,1,6.93
177,Olafsvik,IS,2020-07-28 04:59:10,64.89,-23.71,48.4,81,87,5.46
178,Shache,CN,2020-07-28 04:59:11,38.42,77.24,91.54,11,0,11.7
179,San Juan De Los Morros,VE,2020-07-28 04:59:11,9.91,-67.35,69.58,94,99,1.3
180,Santa Cruz,BO,2020-07-28 04:59:12,-17.8,-63.17,66.2,93,0,4.7
181,Lavrentiya,RU,2020-07-28 04:59:13,65.58,-171.0,47.64,79,94,11.97
182,Katete,UG,2020-07-28 04:59:13,-0.78,29.75,64.09,82,30,2.24
183,Honiara,SB,2020-07-28 04:59:13,-9.43,159.95,84.2,83,40,4.7
184,Rio Grande,BR,2020-07-28 04:59:13,-32.03,-52.1,51.01,97,100,8.63
185,Naze,JP,2020-07-28 04:59:14,28.37,129.48,89.6,75,40,11.41
186,Vershino-Shakhtaminskiy,RU,2020-07-28 04:59:14,51.3,117.89,70.93,79,99,12.53
